City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
143,Quelimane,MZ,75.15,thunderstorm,-17.8786,36.8883,Mabassa
145,Kahului,US,79.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
147,Lagoa,PT,62.49,overcast clouds,39.05,-27.9833,Casa da Madrinha
150,Marshall,US,71.35,clear sky,34.3834,-86.3333,Wyndham Garden Lake-Guntersville
156,Hasaki,JP,63.28,overcast clouds,35.7333,140.8333,Choshi Plaza Hotel
160,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
167,Torres,BR,72.82,scattered clouds,-29.3353,-49.7269,Residencial Medusa
171,Hithadhoo,MV,81.48,overcast clouds,-0.6,73.0833,Pebbles Inn
172,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Hotel Grand Mentari
173,Monte Escobedo,MX,68.52,scattered clouds,22.3,-103.5833,La Muralla
174,Vaitape,PF,79.23,light rain,-16.5167,-151.75,Oa Oa Lodge
177,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Ocean Centre Hotel
178,Ueda,JP,59.0,overcast clouds,36.4,138.2667,ホテルサンルート
181,Davila,PH,80.78,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
182,Maneadero,MX,63.1,few clouds,31.7167,-116.5667,Estero Beach Resort
185,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
186,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Central Hôtel
188,Honiara,SB,79.39,overcast clouds,-9.4333,159.95,King Solomon Hotel
191,Port Blair,IN,79.65,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
192,Ambulu,ID,77.09,overcast clouds,-8.345,113.6058,Hotel Ambulu
194,Port Elizabeth,ZA,73.09,clear sky,-33.918,25.5701,Waterford Hotel
195,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,Le Baril
197,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,Ibis Styles
198,Touros,BR,79.59,broken clouds,-5.1989,-35.4608,Pousada Atlântico
200,Port Lincoln,AU,56.05,broken clouds,-34.7333,135.8667,Boston Hotel
201,Sao Filipe,CV,76.17,clear sky,14.8961,-24.4956,Bela Vista
204,Camacari,BR,80.37,light rain,-12.6975,-38.3242,Hotel Uberlândia
208,Hualmay,PE,72.19,few clouds,-11.0964,-77.6139,Hotel Mi Choacan
211,Sinnamary,GF,78.75,overcast clouds,5.3833,-52.95,Hôtel du fleuve
221,Mtwara,TZ,78.13,few clouds,-10.2667,40.1833,Newala Guest House
223,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
228,Ribeira Grande,PT,64.8,broken clouds,38.5167,-28.7,Hospedaria JSF - 3 Estrelas
